tweet_id,text,intent,confidence,reason
849,@SpotifyCares doesn’t work and i even tried deleting the app,app_bug,0.96,"User reports the app doesn't work even after reinstall, indicating a bug."
850,@SpotifyCares Premium &amp; when i️ have it on shuffle it turns off when the song is done and just plays in order and the repeat lights up but doesn’t repeat,app_bug,0.96,"User reports shuffle and repeat features not working correctly, indicating a bug in the app."
853,@SpotifyCares iphone 7+ and i have the most recent update for spotify,other,0.7,"The tweet only states device and app version without a clear issue or request, so it doesn't fit other categories."
857,"@SpotifyCares Yes, multiple times. No changes. I am Premium User an when @115890  send us users to Spotify there should be a bugfree running App 🤨",app_bug,0.93,"User reports repeated issues with the app despite being a Premium user, indicating a bug."
858,@SpotifyCares 2/2... and there is no way to manage Albums (recently added e.g.) in the App. It's a mess 😲 https://t.co/RlWuqllt8S,feature_request,0.92,"User complains about lacking ability to manage albums, indicating a request for a new feature."
862,@SpotifyCares @115890 Groove Music quits &amp; redirect to Spotify. But the W10M App is a bugfest.. Any further Updates possible?,app_bug,0.96,User reports the Windows 10 Mobile app is full of bugs and asks for updates.
864,@SpotifyCares ok thx,other,0.97,"The tweet is a brief thank‑you, not a bug, login, billing, or feature request."
866,is there a way to find non-explicit songs that are explicit @SpotifyCares,feature_request,0.96,"User asks how to find songs with a specific explicit filter, which is a feature request."
1868,@SpotifyCares I tried it on web browser and it worked! 😊,other,0.97,User expresses positive feedback that something worked on the web browser
1870,"@SpotifyCares Desktop app still not working, but I got to see the cool thing (Easter egg) so I’m ecstatic! 😊😊",app_bug,0.96,"User reports the desktop app is still not working, indicating a bug."
1872,@SpotifyCares 1.0.65.320.gac7a8e02,other,0.85,"The tweet only contains a version string with no clear request or issue, so it falls under unrelated content."
1869,"@SpotifyCares using a MacBook Pro with OS X El Capitan and the latest Spotify update, and an iPhone 6S with the latest software/Spotify updates!",other,0.95,The tweet only mentions devices and updates without a specific issue or request.
1877,"@SpotifyCares Made In Germany, Du Bist Gut, Cover Me and 20 Jahre (this one mostly). Because these are missing, a few compilations have greyed out tracks",app_bug,0.86,"User reports missing/greyed-out tracks, indicating a playback or content issue."
2802,"@SpotifyCares Montreal, where the ad itself says I’m not allowed to get the deal.

We had another tweet exchange a few days ago when you emailed me the same offer.",billing_payment,0.78,"User reports being denied a promotional deal, which relates to billing or subscription offers."
2804,"So @115888 @3493 @SpotifyCares: three days later you’re still advertising a sale to me for which I’m geographically  ineligible, this time on Facebook. You know you can choose where you want your ads to display on FB, don’t you? https://t.co/AHEZ1EtC57",other,0.95,"User complains about geographically ineligible ads, which doesn't fit app bug, login, billing, or feature request categories."
2806,@SpotifyCares You actually are amazing 😘😘😘,other,0.99,"The tweet expresses praise for Spotify, not a bug, login, billing, or feature request."
2807,@SpotifyCares https://t.co/RLvNj5Ifow - you having a party without me?,other,0.96,"The tweet is a casual comment with no issue related to app bugs, login, billing, or feature requests."
2809,.@SpotifyCares any way to block this particular ad? Happy with ads/dont want premium. Just this ad is really hard to watch over and over and over. Please help. https://t.co/MsW8FjmKw1,feature_request,0.93,"User asks how to block a specific ad, which is a request for a new feature or capability."
2853,"@SpotifyCares Thanks for the quick reply! I got it to work after un/reinstalling a few times, but I’m on MacOS High Sierra. Looks like version 1.0.68.407.g6864aaaf? I’m not sure what the initial problem was, but again, it’s working now.",app_bug,0.97,"User describes a previous app problem that was fixed after reinstalling, indicating an app bug issue."
