tweet_id,text,in_response_to_tweet_id
848,@115887 Hmm. Can you try restarting your device by holding the Sleep/Wake + Volume Down buttons for 10 seconds? Keep us posted /LS,850.0
851,@115887 Could you send us a DM with your account's email address? We'll take a look backstage /CH https://t.co/ldFdZRiNAt,849.0
852,"@115887 Thanks. Just to be sure, are you Free or Premium? Also, can you give us more info on what happens when you try using it? /CB",853.0
854,"@115887 Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB",855.0
856,"@115889 Got it. It's not possible at the moment, but we'll pass on the the suggestion. Could you try reinstalling the app? /PB",858.0
859,@115889 Sorry to hear that. The Spotify app on Windows Phone is currently in maintenance mode. More info here: https://t.co/KSq4qse4dE /RS,857.0
860,@115889 Hey there! That doesn't sound good. What's happening exactly? Can you let us know the app version you're using? /PB,862.0
863,"@115891 No worries. If you have other questions, just give us a shout 😉 /GS",864.0
865,"@115891 Hey Mikey! We're afraid there's no way to filter or search that way, but we'll pass that suggestion on to the relevant folks /GS",866.0
1867,"@116128 Got it! Could you try streaming one of our 15 Stranger Things playlists, then switch to the Now Playing screen? /KB",1869.0
1871,"@116128 Hmm, let's see. Could you confirm the exact Spotify version of your desktop app? /KB",1870.0
1873,"@116128 Thanks! It's not ideal, but a clean reinstall of the app should help out: https://t.co/EqisDMwZAT. Let us know how it plays out /KB",1872.0
1874,@116128 Hey Jacklynn! The cavalry's here. Could you tell us the device/OS you're using? We'll see what we can suggest /KB,1875.0
1876,@116129 Hi Liam! Could you let us know the tracks/albums you're looking for? We'll take a look /RH,1878.0
1879,"@116129 2: Spotify content here: https://t.co/0i8GpimuDa. If you have anything else in mind, we're just a tweet away /RH",1877.0
1880,"@116129 1: Thanks! Looks like those albums are currently unavailable. Fingers crossed we'll be able to have them soon, but there's info about...",1877.0
2798,"@116374 Hey Katie, thanks for the feedback – we appreciate it! We’ll get this passed onto the right team 💚 /CG",2799.0
2801,@116375 Sorry about that. You shouldn’t have received an email/notification if you’re not eligible. Can you DM us your account's email address or username? /NQ https://t.co/ldFdZRiNAt,2802.0
2803,"@116375 Hey there! Just to clarify, which part of Canada are currently living in? /MT",2804.0
2805,"@116376 Hey Tom! Not to worry, we're more than happy to bring the party to your place. Would you mind sending this invite out to everyone you know? https://t.co/LwyCWf8WKC 🎉 /TB",2807.0
2808,@116377 Hey there! Thanks for taking the time to reach out – we'll pass your feedback on to our Ads team /NQ,2809.0
2810,"@116378 Hey there, help's here! Could you DM us your account's email address and username? We'll take a look backstage /CG https://t.co/ldFdZRiNAt",2811.0
2852,"@116379 Awesome! If you ever need anything else, just shout and we'll come running 🏃 /DF",2853.0
2854,@116379 Hey Dylan! Can you let us know which versions of Spotify and Windows you're running? We'll see what we can suggest /RA,2855.0
2856,@116380 @116381 Hey Pazcal! Could you send us a DM with your account's email address? We'll take a look backstage /MJ https://t.co/ldFdZRiNAt,2857.0
2860,@116380 @116382 Hey there! We'll get this reported. Great detective work! https://t.co/LpsmyUtme0 /MJ,2861.0
2863,@116383 Hey! The cavalry's here. Can you DM us your account's username or email address? We'll take a look under the hood /JS https://t.co/ldFdZRiNAt,2864.0
2867,@116384 Hey there! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have them available again soon /MT,2869.0
2870,"@116384 You're welcome. Not to worry, we'll pass on your feedback to the right team. If you ever need us again, just say the word. We're always here for you /MT",2868.0
2871,@116385 We've just sent a DM your way. Let's carry on chatting there /MT,2872.0
2872,"@116385 Hey there! Don't worry, help's here. Can you let us know the iPhone model you're using along with its iOS and Spotify versions? We'll see what we can suggest /MT",2873.0
2874,@116386 We see. Could you DM us your Facebook profile's email address? We'll help out there /CG https://t.co/ldFdZRiNAt,2875.0
2876,@116386 Hey! Could you DM us your account’s email address? We’ll check this out backstage /CG https://t.co/ldFdZRiNAt,2877.0
2932,"@116387 Thanks. Is it happening over 3G/4G, WiFi, or both? Does logging out, fully closing the app, and restarting your device help? /KC",2934.0
2935,@116387 Can you DM us your account's email address? We'll check things out /KC https://t.co/ldFdZRiNAt,2933.0
2936,"@116387 Hey! What device, operating system, and Spotify version are you using? We'll see what we can suggest /CB",2937.0
2938,"@116388 Hey! We hear you 🎧 Rest assured, your feedback will be passed on to the right folks /RH",2939.0
2943,@116391 Hi there! Can you DM us your account's email address or username? We'll take a look backstage /NQ https://t.co/ldFdZRiNAt,2944.0
2945,@116392 Hi Thomas. It makes total sense! This link should help you sort your awesome tracks: https://t.co/5hjtm5AdqM /LS,2946.0
